19,21,22,17,23,26,25,10,21,21,22,27,27,31,27,26
31,30,24,23,17,7,8,28,23,6,8,24,28,22,19,20
27,29,20,2,21,19,22,27,27,21,20,20,28,25,25,28
23,2,19,1,1,15,10,20,24,19,19,24,25,19,26,24
26,25,23,3,21,21,23,21,22,13,26,24,22,8,18,28
26,27,17,23,19,26,28,20,17,16,23,1,12,21,15,17
1,23,14,14,18,11,16,16,23,23,19,12,18,21,9,14
4,8,1,1,4,6,13,2,13,14,1,13,1,14,20,22
18,7,1,0,0,15,10,19,18,1,18,16,0,1,13,15
1,14,5,1,2,4,1,11,3,4,21,1,1,5,16,0
0,0,0,1,17,1,0,11,21,0,0,0,16,20,8,0
0,0,0,1,1,1,0,5,13,0,0,0,1,1,1,0
