39,41,44,40,42,41,37,36,40,36,36,38
41,42,38,38,35,36,37,35,36,38,31,32
37,39,35,37,37,39,38,34,35,36,33,33
35,36,43,36,38,31,35,31,31,34,31,34
35,38,38,39,37,32,28,34,36,26,37,35
38,37,34,34,33,35,33,36,33,34,35,34
38,32,30,35,33,31,34,28,31,37,35,29
28,33,37,26,28,31,33,33,32,32,35,31
31,37,34,34,30,29,36,27,31,28,33,33
32,34,33,33,31,29,33,35,31,30,34,28
24,31,32,30,31,29,30,34,26,30,35,29
31,34,30,26,32,28,29,34,31,33,29,24
31,31,28,27,33,29,29,26,31,28,32,26
33,30,29,25,29,29,27,29,30,25,16,27
28,28,30,33,27,30,25,25,29,30,26,27
25,27,20,27,24,31,29,28,29,30,24,29
