21,13,15,16,4,6,13,14,16,18,21,24,17,23,24,25
18,4,22,25,28,16,18,27,21,14,22,26,23,23,21,22
17,19,19,20,19,17,22,11,26,23,21,17,9,13,22,10
22,21,21,19,10,14,22,18,18,1,1,0,9,2,13,7
10,25,21,21,19,14,15,25,22,24,23,8,13,8,19,19
1,11,9,15,1,2,21,22,17,13,15,15,13,9,13,27
0,19,15,21,20,25,28,26,18,24,17,12,15,27,21,15
17,20,21,11,6,11,4,9,10,19,12,21,25,18,17,23
19,20,16,14,1,1,23,26,16,21,22,18,23,20,16,1
19,6,0,1,26,9,1,22,26,18,16,17,18,24,17,26
1,12,6,17,25,23,14,17,26,16,10,19,21,16,12,19
19,18,18,7,21,11,1,12,17,16,11,1,18,8,27,21
