37,36,35,39,38,39,35,41,38,37,40,38
42,35,38,37,41,41,40,34,39,42,40,41
40,40,35,40,38,38,39,35,41,39,42,35
39,36,39,34,38,37,38,40,39,37,37,39
33,40,36,35,34,39,37,36,34,37,31,39
35,34,35,37,39,38,34,40,37,37,35,34
38,29,33,35,40,39,37,40,39,35,36,30
36,33,33,37,38,33,36,36,36,39,34,39
32,37,33,35,38,32,35,39,35,32,37,32
36,36,37,35,30,34,36,35,28,39,33,34
33,34,29,31,36,33,33,36,38,32,34,32
34,30,30,37,30,34,34,31,34,35,35,33
33,29,30,31,31,28,31,35,34,36,32,35
31,26,34,32,35,33,29,33,30,30,33,30
30,29,31,32,31,28,33,29,27,29,32,32
32,29,34,31,30,24,30,29,34,30,30,30
