1,21,1,0,0,0,0,0,0,0,0,0
1,18,1,0,0,0,0,0,0,1,10,1
0,0,0,1,1,1,4,1,1,1,15,1
1,28,36,35,34,36,37,36,41,46,7,0
43,45,48,46,39,49,47,43,50,50,26,0
48,45,50,48,45,45,44,41,45,42,39,1
45,43,46,41,40,43,44,36,43,39,36,1
41,39,39,36,37,35,37,37,41,38,30,23
37,31,41,34,33,35,36,31,35,33,37,30
33,33,36,29,31,25,29,35,32,22,28,25
26,31,36,28,27,24,32,25,12,26,26,18
24,26,19,23,29,26,27,17,21,27,25,30
24,25,9,7,24,16,22,28,21,23,8,24
22,11,9,15,17,30,23,23,21,20,18,1
28,21,1,20,9,17,22,1,20,1,14,1
22,15,21,21,16,19,16,5,22,1,18,1
