0,0,0,0,0,0,0,0,1,8,0,0
0,0,0,0,0,0,0,0,12,24,0,0
0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,1,3,6,1
0,0,0,0,1,1,2,20,29,42,46,43
14,13,14,31,31,37,36,44,48,46,50,46
21,32,37,41,42,46,48,46,48,45,48,45
38,38,41,40,39,45,41,43,42,42,40,39
39,33,40,40,39,39,37,43,39,34,42,35
30,30,38,37,37,34,39,37,32,33,34,33
30,33,37,27,29,26,27,25,30,31,32,26
26,25,26,19,29,27,23,30,29,30,30,26
22,30,27,29,12,30,29,21,26,25,12,16
19,19,28,24,28,23,20,23,16,20,8,12
18,17,22,22,20,24,15,21,28,16,1,20
22,20,22,19,10,27,23,14,23,19,18,21
