41,41,35,38,39,42,41,41,39,43,37,36,36,42
40,38,39,40,36,32,29,34,38,42,43,40,37,24
33,39,40,39,38,42,35,29,18,17,32,41,39,41
1,12,23,31,33,32,32,28,32,27,17,20,36,33
7,0,9,26,31,24,31,1,1,15,25,27,29,36
22,25,13,20,29,25,29,27,37,36,36,33,36,33
30,32,23,31,35,37,31,30,37,29,39,38,38,40
31,30,36,36,36,39,30,35,30,33,32,34,35,35
23,30,30,35,37,34,37,33,31,34,38,32,27,35
36,36,29,25,22,24,36,38,35,37,39,36,36,36
36,29,34,33,34,28,32,31,36,35,32,33,36,36
33,27,27,29,28,29,31,31,26,28,24,31,24,27
33,22,24,15,26,20,30,30,30,36,34,35,25,19
31,27,35,30,33,25,32,31,30,29,31,27,33,35
