39,34,38,31,8,1,1,1,0,0,0,0,0,0,0,0
31,21,31,35,32,29,32,28,25,15,1,1,1,0,0,0
27,34,27,26,32,29,31,28,22,35,20,9,24,18,1,0
21,17,23,30,25,28,29,26,27,26,19,24,15,23,3,0
26,14,25,14,26,23,26,25,20,30,20,14,20,22,13,1
1,1,3,7,3,23,11,24,17,23,16,15,17,8,1,16
1,0,10,21,20,27,25,27,10,12,16,21,21,1,1,19
16,15,11,14,19,19,8,16,17,20,21,12,15,13,14,14
7,5,11,5,12,15,0,19,12,7,14,17,14,15,17,13
8,0,9,4,1,10,11,1,1,0,1,5,15,17,1,0
14,6,10,0,1,11,12,0,1,1,0,15,17,1,10,14
1,5,9,0,1,17,1,0,3,17,0,6,1,0,1,1
