38,40,37,38,41,35,39,38,39,35,36,37
41,40,42,39,34,40,41,41,37,38,35,42
35,42,39,41,35,39,38,38,40,35,40,40
39,37,37,39,40,38,37,38,34,39,36,39
39,31,37,34,36,37,39,34,35,36,40,33
34,35,37,37,40,34,38,39,37,35,34,35
30,36,35,39,40,37,39,40,35,33,29,38
39,34,39,36,36,36,33,38,37,33,33,36
32,37,32,35,39,35,32,38,35,33,37,32
34,33,39,28,35,36,34,30,35,37,36,36
32,34,32,38,36,33,33,36,31,29,34,33
33,35,35,34,31,34,34,30,37,30,30,34
35,32,36,34,35,31,28,31,31,30,29,33
30,33,30,30,33,29,33,35,32,34,26,31
32,32,29,27,29,33,28,31,32,31,29,30
30,30,30,34,29,30,24,30,31,34,29,32
