23,28,30,30,23,22,21,33,30,30,28,34,25,25,9,17
11,21,23,10,26,35,33,32,27,24,30,22,21,24,28,24
26,29,23,26,28,30,28,27,25,12,27,24,30,25,24,28
32,31,30,32,26,29,30,23,21,22,20,21,29,24,26,22
26,24,26,33,24,23,25,31,25,4,1,20,28,34,34,22
22,24,30,24,25,32,30,31,29,22,11,18,24,31,20,31
21,25,26,17,24,28,30,31,28,31,27,23,27,32,30,22
22,22,29,18,18,25,29,32,14,28,29,29,16,29,28,29
21,24,25,22,18,28,12,18,27,28,10,26,22,16,23,21
23,27,25,24,25,18,20,30,30,23,26,23,20,24,26,26
12,22,25,22,17,21,31,26,26,10,26,25,25,24,28,28
5,14,20,25,26,23,24,22,23,10,19,20,24,22,23,9
25,14,15,26,26,24,3,12,19,23,19,12,24,26,26,27
26,25,13,21,19,28,28,24,6,6,11,19,19,9,6,19
26,22,4,18,21,23,21,27,19,14,24,25,11,9,1,7
10,8,16,12,15,13,1,2,24,16,2,10,16,20,1,19
