29,31,29,34,34,35,35,27,36,35,30,27,32,34
28,31,34,20,2,20,30,29,30,35,35,36,30,38
29,29,36,28,31,32,27,31,22,28,36,39,35,37
32,29,33,21,36,34,34,31,30,28,29,27,32,30
31,29,31,27,32,29,23,31,32,31,26,31,29,31
24,31,31,32,32,25,31,29,21,31,35,33,15,25
24,26,26,27,30,32,33,32,27,31,31,24,30,34
29,29,30,22,23,22,23,32,23,18,28,28,30,19
30,27,23,26,28,27,1,24,10,22,27,28,31,29
24,28,27,29,28,22,12,31,29,29,25,9,12,31
26,29,19,29,24,10,33,27,19,30,23,24,22,24
5,17,16,16,29,20,12,32,27,23,28,22,20,31
30,25,16,26,20,19,27,22,23,27,21,24,15,8
34,19,26,18,21,18,13,5,9,1,20,5,1,0
