0,8,36,38,43,36,42,44,40,38,45,42
1,28,32,38,40,37,36,31,35,37,42,35
1,29,36,30,32,28,35,35,34,32,35,30
1,25,27,22,31,34,30,27,29,28,36,32
1,21,24,28,15,22,32,22,29,28,36,32
12,30,24,25,22,18,27,25,29,20,11,26
17,21,4,24,20,29,20,19,20,3,13,22
24,1,20,17,21,21,23,30,17,17,4,14
19,1,13,1,20,1,23,15,8,21,8,20
0,1,16,1,23,6,13,17,17,19,21,13
4,1,0,1,11,9,17,0,20,12,16,1
13,10,1,0,0,1,1,0,8,1,1,1
0,13,12,0,0,3,18,0,17,14,19,23
0,1,1,0,1,1,1,14,1,1,1,4
0,0,0,0,14,10,1,10,1,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0
