42,36,36,37,43,39,41,41,42,39,38,35,41,41
24,37,40,43,42,38,34,29,32,36,40,39,38,40
41,39,41,32,17,18,29,35,42,38,39,40,39,33
33,36,20,17,27,32,28,32,32,33,31,23,12,1
36,29,27,25,15,1,1,31,24,31,26,9,0,7
33,36,33,36,36,37,27,29,25,29,20,13,25,22
40,38,38,39,29,37,30,31,37,35,31,23,32,30
35,35,34,32,33,30,35,30,39,36,36,36,30,31
35,27,32,38,34,31,33,37,34,37,35,30,30,23
36,36,36,39,37,35,38,36,24,22,25,29,36,36
36,36,33,32,35,36,31,32,28,34,33,34,29,36
27,24,31,24,28,26,31,31,29,28,29,27,27,33
19,25,35,34,36,30,30,30,20,26,15,24,22,33
35,33,27,31,29,30,31,32,25,33,30,35,27,31
