43,41,43,42,39,44,43,44,40,45,40,39
44,44,40,42,38,42,41,41,41,46,40,37
43,45,43,44,42,41,39,45,42,38,40,39
43,41,42,42,44,37,41,41,43,41,35,37
41,43,44,43,44,44,44,41,43,38,40,30
41,44,43,46,42,44,40,36,41,40,31,35
40,42,44,41,41,41,37,38,38,37,35,39
39,42,37,40,34,37,38,33,37,36,29,32
39,38,35,37,34,39,35,35,35,37,32,33
36,39,41,35,39,33,36,31,35,34,33,31
36,38,37,39,37,32,29,32,33,31,37,35
40,37,36,34,35,34,30,36,35,33,34,34
38,32,30,34,31,32,33,31,32,36,33,29
30,35,35,29,30,32,33,32,33,33,34,31
31,35,34,34,26,31,34,27,32,28,33,33
31,35,35,33,29,32,32,35,32,27,36,27
