37,30,38,37,34,26,30,36,30,33,29,33
28,30,30,31,32,31,31,32,33,28,30,35
25,30,33,31,29,30,29,30,34,28,31,32
21,31,31,31,21,34,25,28,32,32,32,30
29,31,32,29,26,33,32,27,26,29,28,30
20,29,27,31,30,30,30,27,26,29,24,15
27,30,30,30,29,24,30,25,26,31,31,28
29,25,21,12,27,27,31,29,28,26,24,23
25,28,28,22,27,24,28,25,21,25,20,24
24,21,28,30,27,27,26,21,26,30,20,27
29,27,23,30,26,31,29,25,25,26,23,23
23,29,25,31,25,26,28,29,22,23,21,22
32,21,13,24,22,26,25,26,21,22,26,21
22,24,28,21,18,25,28,24,18,23,18,23
24,17,25,20,24,23,18,23,15,24,9,25
12,18,18,21,7,22,20,19,19,16,15,11
