34,32,27,30,35,36,27,35,35,34,34,29,31,29
38,30,36,35,35,30,29,30,20,2,20,34,31,28
37,35,39,36,28,22,31,27,32,31,28,36,29,29
30,32,27,29,28,30,31,34,34,36,21,33,29,32
31,29,31,26,31,32,31,23,29,32,27,31,29,31
25,15,33,35,31,21,29,31,25,32,32,31,31,24
34,30,24,31,31,27,32,33,32,30,27,26,26,24
19,30,28,28,18,23,32,23,22,23,22,30,29,29
29,31,28,27,22,10,24,1,27,28,26,23,27,30
31,12,9,25,29,29,31,12,22,28,29,27,28,24
24,22,24,23,30,19,27,33,10,24,29,19,29,26
31,20,22,28,23,27,32,12,20,29,16,16,17,5
8,15,24,21,27,23,22,27,19,20,26,16,25,30
0,1,5,20,1,9,5,13,18,21,18,26,19,34
