7,18,9,10,1,18,21,19,6,23,6,18,19,19,17,15
15,14,20,20,6,7,21,23,16,28,25,26,18,22,23,24
13,21,26,19,16,18,25,16,24,20,28,26,15,19,8,1
19,18,21,31,25,15,24,15,17,14,19,26,26,21,16,16
19,12,20,23,15,22,24,13,15,10,16,23,20,19,16,4
22,9,16,19,16,10,15,16,0,1,26,19,16,24,24,16
12,19,12,13,9,0,1,3,1,15,16,16,21,19,25,21
17,18,15,21,13,6,16,0,7,20,6,9,6,12,19,9
10,1,4,26,10,13,4,17,1,0,1,19,2,7,15,1
19,17,17,18,1,17,2,5,1,1,9,18,1,0,0,0
1,1,5,14,0,12,11,10,1,11,13,1,0,16,7,0
15,19,3,0,0,17,5,15,1,0,10,15,9,11,1,1
