17,11,1,7,1,18,24,17,21,21,14,8,15,13,19,7
20,17,1,21,22,12,5,0,0,1,1,3,1,12,11,18
16,19,9,9,6,10,4,10,6,15,18,19,19,11,1,1
17,11,14,1,1,1,5,17,13,13,15,10,3,26,26,5
5,1,13,1,13,18,18,17,15,18,18,22,15,5,9,1
1,0,11,17,25,18,8,17,24,17,21,23,27,6,15,13
12,13,10,1,5,22,21,20,7,27,23,27,13,20,19,1
6,23,25,1,13,21,29,19,26,24,17,23,5,22,18,21
10,1,21,16,29,22,16,15,26,10,18,16,1,5,23,4
27,25,23,24,23,27,20,25,14,8,19,24,3,14,17,0
23,8,22,22,16,1,1,16,2,13,24,4,20,21,11,20
1,19,19,4,10,17,12,19,8,26,16,9,24,14,14,20
