0,0,0,0,0,0,0,0,0,1,21,1
1,10,1,0,0,0,0,0,0,1,18,1
1,15,1,1,1,4,1,1,1,0,0,0
0,7,46,41,36,37,36,34,35,36,28,1
0,26,50,50,43,47,49,39,46,48,45,43
1,39,42,45,41,44,45,45,48,50,45,48
1,36,39,43,36,44,43,40,41,46,43,45
23,30,38,41,37,37,35,37,36,39,39,41
30,37,33,35,31,36,35,33,34,41,31,37
25,28,22,32,35,29,25,31,29,36,33,33
18,26,26,12,25,32,24,27,28,36,31,26
30,25,27,21,17,27,26,29,23,19,26,24
24,8,23,21,28,22,16,24,7,9,25,24
1,18,20,21,23,23,30,17,15,9,11,22
1,14,1,20,1,22,17,9,20,1,21,28
1,18,1,22,5,16,19,16,21,21,15,22
