26,27,31,27,27,22,21,21,10,25,26,23,17,22,21,19
20,19,22,28,24,8,6,23,28,8,7,17,23,24,30,31
28,25,25,28,20,20,21,27,27,22,19,21,2,20,29,27
24,26,19,25,24,19,19,24,20,10,15,1,1,19,2,23
28,18,8,22,24,26,13,22,21,23,21,21,3,23,25,26
17,15,21,12,1,23,16,17,20,28,26,19,23,17,27,26
14,9,21,18,12,19,23,23,16,16,11,18,14,14,23,1
22,20,14,1,13,1,14,13,2,13,6,4,1,1,8,4
15,13,1,0,16,18,1,18,19,10,15,0,0,1,7,18
0,16,5,1,1,21,4,3,11,1,4,2,1,5,14,1
0,8,20,16,0,0,0,21,11,0,1,17,1,0,0,0
0,1,1,1,0,0,0,13,5,0,1,1,1,0,0,0
