23,22,31,25,28,20,1,8,16,18,6,27,24,25,31,26
22,30,28,19,29,23,19,19,10,1,16,24,24,24,23,25
28,21,25,32,29,16,25,29,25,25,8,16,22,21,24,22
11,10,17,21,19,20,24,26,19,25,29,26,29,25,26,23
23,15,8,1,0,1,22,27,27,24,11,28,30,29,12,18
19,23,23,18,1,1,1,17,21,24,17,18,26,18,21,18
9,20,26,25,19,18,22,23,23,13,26,16,18,20,17,11
25,22,22,23,21,9,8,27,13,24,28,24,20,27,27,18
19,18,26,23,23,20,20,19,12,26,23,22,21,30,19,18
21,22,23,26,29,21,27,21,10,18,15,20,10,20,20,27
28,29,22,20,21,21,24,20,14,8,26,24,27,17,7,18
24,11,21,20,24,24,26,18,25,17,17,16,23,6,10,30
