23,22,22,21,4,17,14,25,23,24,9,13,14,1,0,0
13,17,21,19,1,14,19,27,24,25,25,16,14,1,0,0
20,21,27,14,12,11,22,16,11,23,25,18,6,20,8,2
4,1,15,15,13,17,20,12,15,22,22,11,26,23,20,22
21,22,20,11,15,1,8,15,23,8,12,1,21,17,26,20
18,23,22,9,10,14,29,16,25,17,19,5,1,1,20,16
12,1,2,8,15,21,26,7,23,22,22,16,11,1,16,2
5,8,6,18,17,1,23,12,17,8,8,1,17,23,13,1
8,14,0,1,2,1,21,20,6,0,17,7,1,11,20,1
14,12,10,3,18,1,1,15,12,16,20,10,22,18,12,24
16,18,17,1,1,1,16,4,6,7,1,1,16,11,1,14
19,15,18,0,13,17,20,15,19,14,19,17,12,1,0,0
