38,32,32,39,35,37,31,38,34,10,18,31,36,38
1,1,1,1,1,1,1,1,1,1,1,1,1,1
30,38,35,36,36,40,35,29,34,28,26,33,21,30
41,41,44,41,38,36,36,39,42,37,42,38,40,38
39,39,37,37,38,40,39,41,35,33,37,40,35,37
20,11,30,41,39,41,36,39,36,31,23,23,18,31
35,34,39,38,38,34,34,30,1,18,1,22,32,28
15,18,34,28,27,8,1,1,7,25,37,39,33,25
32,24,26,20,29,20,1,1,19,32,25,23,31,17
35,29,27,36,31,19,31,24,29,28,29,26,17,1
20,32,33,35,39,33,33,33,33,29,22,19,29,29
35,31,35,39,33,35,28,28,24,31,31,37,35,34
38,37,38,31,33,29,30,31,31,35,36,35,33,29
33,33,29,9,33,31,35,33,36,32,29,28,32,26
