33,34,36,35,36,37,30,24,33,31,31,40,30,33
1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,34,33,36,36,38,41,38,42,39,35,34,38,24
41,34,41,41,41,40,38,41,42,43,41,39,35,40
43,41,38,35,32,30,37,42,39,42,41,40,41,31
33,38,41,36,41,36,13,20,30,35,41,42,38,37
23,25,31,37,35,37,30,29,26,23,30,37,32,25
12,15,27,33,34,37,39,39,36,36,41,38,39,39
27,32,23,31,25,33,40,40,38,36,42,40,36,33
39,38,38,38,41,33,36,35,39,39,41,35,38,39
31,35,33,39,36,37,35,34,38,38,38,37,38,40
33,33,33,26,30,34,36,38,36,36,36,36,29,37
38,39,39,32,36,37,25,30,27,40,40,42,41,36
32,35,32,39,37,36,35,35,35,29,32,39,37,38
