33,31,28,31,18,18,28,21,24,24,27,20,22,17,24,18
26,24,23,24,27,21,23,20,16,24,20,11,9,20,20,19
19,12,19,6,24,20,20,10,6,16,24,22,24,22,16,5
24,26,19,21,16,13,19,14,13,5,23,22,6,1,15,20
12,21,20,19,9,12,14,13,15,20,17,22,15,6,19,20
19,21,13,20,7,17,11,14,21,17,1,7,13,17,18,11
18,19,6,19,1,9,16,12,20,6,14,20,4,17,17,11
3,19,16,12,1,20,19,11,12,14,16,21,18,15,7,12
22,20,15,11,19,18,13,1,11,19,7,18,14,17,14,21
14,22,3,11,13,15,0,1,17,18,16,14,17,14,5,2
10,11,19,9,9,10,0,0,1,16,21,13,13,1,13,9
19,5,19,18,16,14,0,0,0,0,1,1,0,0,0,0
