31,30,34,31,34,34,30,30,30,32,29,35,31,29
25,25,31,28,30,32,33,25,20,27,24,25,29,33
31,30,21,21,27,32,34,28,29,32,30,28,34,27
24,18,27,22,27,25,24,30,30,31,24,35,30,34
27,27,24,22,30,20,31,14,19,28,25,14,28,33
21,25,30,30,24,24,31,26,19,26,19,12,18,25
26,32,27,28,27,20,25,24,28,18,31,26,25,29
25,20,25,27,24,26,31,29,3,26,17,30,26,29
13,27,25,22,15,20,26,12,21,30,24,29,25,28
24,18,30,29,23,25,5,1,20,23,22,30,24,28
17,29,24,14,31,27,24,23,14,9,17,14,30,23
1,31,11,30,23,18,28,16,33,28,17,31,11,23
1,30,17,24,1,27,12,23,30,13,23,6,20,23
28,18,1,21,1,10,1,15,20,23,27,6,23,9
